"filename", "language", "Go", "comment", "blank", "total"
"c:\Code\butter\cmd\lexer.go", "Go", 35, 0, 1, 36
"c:\Code\butter\cmd\lexer_test.go", "Go", 13, 1, 5, 19
"c:\Code\butter\cmd\main.go", "Go", 5, 0, 1, 6
"c:\Code\butter\cmd\repl.go", "Go", 22, 0, 9, 31
"c:\Code\butter\cmd\token.go", "Go", 32, 0, 0, 32
"Total", "-", 107, 1, 16, 124
